lon,lat
-97.7430608,30.267153
-80.9262062,43.7663545
-74.4056612,40.0583238
-54.6103488,48.954408
-63.5752387,44.6487635
-93.2650108,44.977753
12.354722,7.369722
-85.6023643,44.3148443
-75.7241006,45.3349046
-94.1736551,36.0678324
-118.2436849,34.0522342
-97.8783911,36.3955891
-76.6983022,39.1370528
-95.4787929,29.7385174
-88.0118473,41.7435073
8.227512,46.818188
-74.0059728,40.7127753
-95.712891,37.09024
-93.2650108,44.977753
-118.2436849,34.0522342
-74.0059728,40.7127753
-74.0059728,40.7127753
-92.2895948,34.7464809
-94.5785667,39.0997265
-74.5402506,40.2677539
-77.5425986,39.8406628
-79.9958864,40.4406248
-105.8700901,34.5199402
-74.4056612,40.0583238
-77.0368707,38.9071923
-118.2436849,34.0522342
-81.3792365,28.5383355
-89.3985283,40.6331249
-114.0708459,51.0486151
-82.9987942,39.9611755
-80.1386547,26.8233946
-118.2436849,34.0522342
-92.2895948,34.7464809
-115.1398296,36.1699412
-89.4012302,43.0730517
-106.6055534,35.0853336
-109.7869527,44.2642998
-77.0368707,38.9071923
-111.880771,40.8893895
-122.2711137,37.8043637
-106.2800242,43.4113604
-94.1718542,36.082156
-74.6327236,40.9503131
-82.445154,38.4192496
-96.2368465,41.2831958
-78.4678382,-0.1806532
-119.4179324,36.778261
-80.097349,43.432922
-74.4518188,40.4862157
-81.5157535,27.6648274
-94.304294,36.2786587
-124.4148241,51.6861249
-120.8958242,38.8375215
-77.0368707,38.9071923
-97.1330683,33.2148412
-99.9018131,31.9685988
-77.4360481,37.5407246
-93.0899578,44.9537029
-106.2800242,43.4113604
-111.9260519,33.4941704
-95.712891,37.09024
-72.9106202,41.5083668
-72.9106202,41.5083668
-72.9106202,41.5083668
-95.712891,37.09024
-121.4943996,38.5815719
-122.5210007,47.6248791
-79.3831843,43.653226
-118.2436849,34.0522342
-93.2650108,44.977753
-0.1277583,51.5073509
-75.1652215,39.9525839
43.679291,33.223191
-87.6297982,41.8781136
-114.0708459,51.0486151
-117.8311428,33.7174708
-82.4571776,27.950575
-117.8311428,33.7174708
-71.5723953,43.1938516
-93.2650108,44.977753
-87.6297982,41.8781136
-106.2800242,43.4113604
-75.3076883,39.957902
-85.3096801,35.0456297
19.5033041,47.162494
19.5033041,47.162494
12.56738,41.87194
144.9630576,-37.8136276
-3.1672365,55.9572641
-81.5157535,27.6648274
-95.712891,37.09024
-99.9018131,31.9685988
-75.1652215,39.9525839
-79.6903316,44.3893556
0.290472,50.768035
-115.1398296,36.1699412
0.290472,50.768035
-0.1277583,51.5073509
-95.712891,37.09024
-115.1398296,36.1699412
-4.2026458,56.4906712
-118.2436849,34.0522342
-104.990251,39.7392358
-111.9400054,33.4255104
-96.7969879,32.7766642
-96.7969879,32.7766642
-74.0059728,40.7127753
-118.2436849,34.0522342
-87.6297982,41.8781136
-95.90194,36.146636
-110.5599556,45.6614105
-122.2913078,37.8271784
-119.4179324,36.778261
-80.8431267,35.2270869
-117.3961564,33.9533487
-89.3985283,40.6331249
-74.0059728,40.7127753
-71.0588801,42.3600825
-75.1567883,38.7305685
-86.158068,39.768403
-81.1280714,29.1416823
-118.2436849,34.0522342
-86.8099885,33.2856687
-81.1637245,33.836081
-111.8910474,40.7607793
-97.7430608,30.267153
-77.0368707,38.9071923
-98.3455688,26.649503
-99.9018131,31.9685988
-79.0192997,35.7595731
-98.4936282,29.4241219
-105.084423,40.5852602
-84.2700179,37.8393332
-105.0874842,39.8027644
-119.4179324,36.778261
-79.3831843,43.653226
-76.5660529,42.9317335
-74.0059728,40.7127753
-120.5542012,43.8041334
139.6917064,35.6894875
-95.712891,37.09024
-95.712891,37.09024
-93.2650108,44.977753
-81.7981908,41.4819932
-63.5916555,44.6365812
-96.7311034,43.5445959
-0.1277583,51.5073509
-82.4571776,27.950575
-74.0120817,40.2203907
-98.4864829,45.4646985
-98.4864829,45.4646985
-73.8648268,40.8447819
-95.712891,37.09024
-121.4943996,38.5815719
-76.4921829,38.9784453
-99.9018131,31.9685988
-83.0146526,42.5144566
72.847753,19.1030311
-83.6516063,42.46059
-111.9426452,33.5311541
-79.6735841,41.6262707
-79.6735841,41.6262707
-122.3320708,47.6062095
-114.0708459,51.0486151
-84.3879824,33.7489954
-94.846681,39.7674578
-111.0937311,34.0489281
-79.3831843,43.653226
-93.2650108,44.977753
-70.861985,41.991213
-81.3414649,41.1490629
-73.7751326,41.0748188
-86.158068,39.768403
-83.6300826,41.3797788
-81.655651,30.3321838
-146.3503387,61.1306005
-120.6596156,35.2827524
-72.9278835,41.308274
-121.3541631,36.3136201
-93.2173758,30.2265949
-78.458708,38.253749
-90.1994042,38.6270025
-97.938351,29.888411
-95.9979883,41.2523634
-74.0059728,40.7127753
-74.0059728,40.7127753
-122.2913078,37.8271784
-72.5778415,44.5588028
-80.0942087,26.9342246
-82.3248262,29.6516344
-122.4598502,47.4473204
-93.2009998,44.9374831
-95.712891,37.09024
-121.4943996,38.5815719
-77.0909809,38.8816208
-7.6920536,53.1423672
-82.3248262,29.6516344
-77.0368707,38.9071923
138.6007456,-34.9284989
-93.2650108,44.977753
-82.3248262,29.6516344
-73.7889689,40.702677
-106.6367127,48.1969637
-94.9271868,38.8108408
-79.7624177,43.7315479
-82.9000751,32.1656221
-118.2436596,34.0522265
-122.3320708,47.6062095
-79.0558445,35.9131996
0.290472,50.768035
-118.032844,33.9791793
9.501785,56.26392
-95.712891,37.09024
-74.0059728,40.7127753
-74.0059728,40.7127753
-86.1560009,40.005334
-74.0059728,40.7127753
-75.1969346,39.8422093
-75.1969346,39.8422093
-95.712891,37.09024
-95.712891,37.09024
-88.4153847,44.2619309
-75.1969346,39.8422093
-80.0942087,26.9342246
-80.0942087,26.9342246
-86.158068,39.768403
-86.9080655,40.4258686
-73.9441579,40.6781784
-75.1652215,39.9525839
-75.4142592,40.6314858
-75.1969346,39.8422093
-76.9364691,38.902984
-70.162651,18.735693
-88.9548001,39.8403147
-98.4936282,29.4241219
-80.0942087,26.9342246
-80.0942087,26.9342246
-79.0192997,35.7595731
-74.4518188,40.4862157
-73.9441579,40.6781784
-84.269857,33.246755
